ID,Firstname,Surname,Born,Gender,Year,CategoryID,Share,Motivation,Affiliation at time of award,City,CountryID
538,Office of the United Nations High Commissioner for Refugees (UNHCR),,,org,1954,5,1,,,,29
539,Office of the United Nations High Commissioner for Refugees (UNHCR),,,org,1981,5,1,,,,29
540,Lester Bowles,Pearson,04/23/1897,1,1957,5,1,,,,9
541,Georges,Pire,2/10/1910,1,1958,5,1,,,,6
542,Philip J.,Noel-Baker,11/01/1889,1,1959,5,1,,,,23
543,Albert John,Lutuli,00/00/1898,1,1960,5,1,,,,54
544,Dag Hjalmar Agne Carl,Hammarskj_ld,7/29/1905,1,1961,5,1,,,,56
545,Ligue des Soci_t_s de la Croix-Rouge (League of Red Cross Societies),,,org,1963,5,2,,,,29
546,Martin Luther,King Jr.,1/15/1929,1,1964,5,1,,,,64
547,United Nations Children's Fund (UNICEF),,,org,1965,5,1,,,,29
548,Ren_,Cassin,10/05/1887,1,1968,5,1,,,,19
549,International Labour Organization (I.L.O.),,,org,1969,5,1,,,,29
550,Norman E.,Borlaug,3/25/1914,1,1970,5,1,,,,64
551,Willy,Brandt,12/18/1913,1,1971,5,1,,,,20
552,Henry A.,Kissinger,5/27/1923,1,1973,5,2,,,,20
553,Le Duc Tho,,10/14/1911,1,1973,5,2,,,,66
554,Seˆn,MacBride,1/26/1904,1,1974,5,2,,,,19
555,Eisaku,Sato,3/27/1901,1,1974,5,2,,,,34
556,Andrei Dmitrievich,Sakharov,5/21/1921,1,1975,5,1,,,,51
557,Betty,Williams,5/22/1943,0,1976,5,2,,,,31
558,Mairead,Corrigan,1/27/1944,0,1976,5,2,,,,31
559,Amnesty International,,,org,1977,5,1,,,,29
560,Mohamed Anwar,al-Sadat,12/25/1918,1,1978,5,2,,,,17
561,Menachem,Begin,8/16/1913,1,1978,5,2,,,,5
562,Mother Teresa,,8/26/1910,0,1979,5,1,,,,40
563,Adolfo,P_rez Esquivel,11/26/1931,1,1980,5,1,,,,2
564,Alva,Myrdal,1/31/1902,0,1982,5,2,,,,56
565,Alfonso,GarcÍa Robles,3/19/1911,1,1982,5,2,,,,42
566,Lech,Walesa,9/29/1943,1,1983,5,1,,,,47
567,Desmond Mpilo,Tutu,10/07/1931,1,1984,5,1,,,,54
568,International Physicians for the Prevention of Nuclear War,,,org,1985,5,1,,,,29
569,Elie,Wiesel,9/30/1928,1,1986,5,1,,,,50
570,Oscar,Arias Sˆnchez,9/13/1941,1,1987,5,1,"""for his work for peace in Central America, efforts which led to the accord signed in Guatemala on August 7 this year""",,,13
571,United Nations Peacekeeping Forces,,,org,1988,5,1,,,,29
572,The 14th Dalai Lama (Tenzin Gyatso),,7/06/1935,1,1989,5,1,,,,59
573,Mikhail Sergeyevich,Gorbachev,3/02/1931,1,1990,5,1,"""for his leading role in the peace process which today characterizes important parts of the international community""",,,65
574,Aung San Suu Kyi,,6/19/1945,0,1991,5,1,"""for her non-violent struggle for democracy and human rights""",,,8
575,Rigoberta,Menchì Tum,1/09/1959,0,1992,5,1,"""in recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""",,,25
576,Nelson,Mandela,7/18/1918,1,1993,5,2,"""for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa""",,,54
577,Frederik Willem,de Klerk,3/18/1936,1,1993,5,2,"""for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa""",,,54
578,Yasser,Arafat,8/24/1929,1,1994,5,3,"""for their efforts to create peace in the Middle East""",,,17
579,Shimon,Peres,8/16/1923,1,1994,5,3,"""for their efforts to create peace in the Middle East""",,,5
580,Yitzhak,Rabin,3/01/1922,1,1994,5,3,"""for their efforts to create peace in the Middle East""",,,32
581,Joseph,Rotblat,11/04/1908,1,1995,5,2,"""for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms""",,,51
582,Pugwash Conferences on Science and World Affairs,,,org,1995,5,2,"""for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms""",,,29
583,Carlos Filipe Ximenes,Belo,2/03/1948,1,1996,5,2,"""for their work towards a just and peaceful solution to the conflict in East Timor""",,,16
584,Jos_,Ramos-Horta,12/26/1949,1,1996,5,2,"""for their work towards a just and peaceful solution to the conflict in East Timor""",,,16
585,International Campaign to Ban Landmines (ICBL),,,org,1997,5,2,"""for their work for the banning and clearing of anti-personnel mines""",,,29
586,Jody,Williams,10/09/1950,0,1997,5,2,"""for their work for the banning and clearing of anti-personnel mines""",,,64
587,John,Hume,1/18/1937,1,1998,5,2,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",,,23
588,David,Trimble,10/15/1944,1,1998,5,2,"""for their efforts to find a peaceful solution to the conflict in Northern Ireland""",,,23
589,M_decins Sans Frontires,,,org,1999,5,1,"""in recognition of the organization's pioneering humanitarian work on several continents""",,,29
590,Sully,Prudhomme,03/16/1839,1,1901,3,1,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",,,19
591,Christian Matthias Theodor,Mommsen,11/30/1817,1,1902,3,1,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",,,20
592,BjËrnstjerne Martinus,BjËrnson,12/08/1832,1,1903,3,1,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",,,44
593,Fr_d_ric,Mistral,09/08/1830,1,1904,3,2,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",,,19
594,Jos_,Echegaray y Eizaguirre,04/19/1832,1,1904,3,2,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""",,,55
595,Henryk,Sienkiewicz,05/05/1846,1,1905,3,1,"""because of his outstanding merits as an epic writer""",,,47
596,Giosu,Carducci,07/27/1835,1,1906,3,1,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",,,33
597,Rudyard,Kipling,12/30/1865,1,1907,3,1,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",,,23
598,Rudolf Christoph,Eucken,01/05/1846,1,1908,3,1,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",,,20
599,Selma Ottilia Lovisa,Lagerl_f,11/20/1858,0,1909,3,1,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",,,56
600,Paul Johann Ludwig,Heyse,03/15/1830,1,1910,3,1,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""",,,20
601,Count Maurice (Mooris) Polidore Marie Bernhard,Maeterlinck,08/29/1862,1,1911,3,1,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",,,19
602,Gerhart Johann Robert,Hauptmann,11/15/1862,1,1912,3,1,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",,,21
603,Rabindranath,Tagore,05/07/1861,1,1913,3,1,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",,,28
604,Romain,Rolland,01/29/1866,1,1915,3,1,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",,,19
605,Carl Gustaf Verner,von Heidenstam,07/06/1859,1,1916,3,1,"""in recognition of his significance as the leading representative of a new era in our literature""",,,56
606,Karl Adolph,Gjellerup,06/02/1857,1,1917,3,2,"""for his varied and rich poetry, which is inspired by lofty ideals""",,,20
607,Henrik,Pontoppidan,07/24/1857,1,1917,3,2,"""for his authentic descriptions of present-day life in Denmark""",,,15
608,Carl Friedrich Georg,Spitteler,04/24/1845,1,1919,3,1,"""in special appreciation of his epic, <I>Olympian Spring</I>""",,,57
609,Knut Pedersen,Hamsun,08/04/1859,1,1920,3,1,"""for his monumental work, <I>Growth of the Soil</I>""",,,44
610,Anatole,France,04/16/1844,1,1921,3,1,"""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament""",,,19
611,Jacinto,Benavente,08/12/1866,1,1922,3,1,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",,,55
612,William Butler,Yeats,06/13/1865,1,1923,3,1,"""for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation""",,,19
613,Wladyslaw Stanislaw,Reymont,05/07/1867,1,1924,3,1,"""for his great national epic, <I>The Peasants</I>""",,,47
614,George Bernard,Shaw,07/26/1856,1,1925,3,1,"""for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty""",,,63
615,Grazia,Deledda,09/27/1871,0,1926,3,1,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",,,33
616,Henri,Bergson,10/18/1859,1,1927,3,1,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""",,,19
617,Sigrid,Undset,05/20/1882,0,1928,3,1,"""principally for her powerful descriptions of Northern life during the Middle Ages""",,,15
618,Thomas,Mann,06/06/1875,1,1929,3,1,"""principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature""",,,20
619,Sinclair,Lewis,02/07/1885,1,1930,3,1,"""for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters""",,,64
620,Erik Axel,Karlfeldt,07/20/1864,1,1931,3,1,"""The poetry of Erik Axel Karlfeldt""",,,56
621,John,Galsworthy,08/14/1867,1,1932,3,1,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>""",,,63
622,Ivan Alekseyevich,Bunin,10/22/1870,1,1933,3,1,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing""",,,19
623,Luigi,Pirandello,06/28/1867,1,1934,3,1,"""for his bold and ingenious revival of dramatic and scenic art""",,,33
624,Eugene Gladstone,O'Neill,10/16/1888,1,1936,3,1,"""for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy""",,,64
625,Roger,Martin du Gard,03/23/1881,1,1937,3,1,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>""",,,19
626,Pearl,Buck,06/26/1892,0,1938,3,1,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",,,64
627,Frans Eemil,Sillanp__,09/16/1888,1,1939,3,1,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""",,,18
628,Johannes Vilhelm,Jensen,01/20/1873,1,1944,3,1,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style""",,,15
629,Gabriela,Mistral,04/07/1889,0,1945,3,1,"""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""",,,10
630,Hermann,Hesse,07/02/1877,1,1946,3,1,"""for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style""",,,20
631,Andr_ Paul Guillaume,Gide,11/22/1869,1,1947,3,1,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""",,,19
632,Thomas Stearns,Eliot,09/26/1888,1,1948,3,1,"""for his outstanding, pioneer contribution to present-day poetry""",,,63
633,William,Faulkner,09/25/1897,1,1949,3,1,"""for his powerful and artistically unique contribution to the modern American novel""",,,64
634,Earl (Bertrand Arthur William),Russell,05/18/1872,1,1950,3,1,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",,,63
635,P_r Fabian,Lagerkvist,05/23/1891,1,1951,3,1,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",,,56
636,Franois,Mauriac,10/11/1885,1,1952,3,1,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",,,19
637,Sir Winston Leonard Spencer,Churchill,11/30/1874,1,1953,3,1,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",,,63
638,Ernest Miller,Hemingway,07/21/1899,1,1954,3,1,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",,,64
639,Halld„r Kiljan,Laxness,4/23/1902,1,1955,3,1,"""for his vivid epic power which has renewed the great narrative art of Iceland""",,,27
640,Juan Ram„n,Jim_nez,12/24/1881,1,1956,3,1,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",,,55
641,Albert,Camus,11/07/1913,1,1957,3,1,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",,,1
642,Boris Leonidovich,Pasternak,02/10/1890,1,1958,3,1,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",,,51
643,Salvatore,Quasimodo,8/19/1901,1,1959,3,1,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",,,33
644,Saint-John,Perse,05/31/1887,1,1960,3,1,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",,,19
645,Ivo,Andric,10/10/1892,1,1961,3,1,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",,,#N/A
646,John,Steinbeck,2/27/1902,1,1962,3,1,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""",,,64
647,Giorgos,Seferis,3/13/1900,1,1963,3,1,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""",,,61
648,Jean-Paul,Sartre,6/21/1905,1,1964,3,1,"""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""",,,19
649,Mikhail Aleksandrovich,Sholokhov,5/24/1905,1,1965,3,1,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people""",,,65
650,Shmuel Yosef,Agnon,07/17/1888,1,1966,3,2,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",,,32
651,Nelly,Sachs,12/10/1891,0,1966,3,2,"""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength"" ",,,20
652,Miguel Angel,Asturias,10/19/1899,1,1967,3,1,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America""",,,55
653,Yasunari,Kawabata,06/11/1899,1,1968,3,1,"""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind""",,,34
654,Samuel,Beckett,4/13/1906,1,1969,3,1,"""for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",,,31
655,Aleksandr Isayevich,Solzhenitsyn,12/11/1918,1,1970,3,1,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",,,51
656,Pablo,Neruda,7/12/1904,1,1971,3,1,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""",,,10
657,Heinrich,B_ll,12/21/1917,1,1972,3,1,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""",,,20
658,Patrick,White,5/28/1912,1,1973,3,1,"""for an epic and psychological narrative art which has introduced a new continent into literature""",,,36
659,Eyvind,Johnson,7/29/1900,1,1974,3,2,"""for a narrative art, far-seeing in lands and ages, in the service of freedom""",,,56
660,Harry,Martinson,5/06/1904,1,1974,3,2,"""for writings that catch the dewdrop and reflect the cosmos""",,,56
661,Eugenio,Montale,10/12/1896,1,1975,3,1,"""for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions""",,,33
662,Saul,Bellow,6/10/1915,1,1976,3,1,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""",,,9
663,Vicente,Aleixandre,04/26/1898,1,1977,3,1,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",,,55
664,Isaac Bashevis,Singer,7/14/1904,1,1978,3,1,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life""",,,64
665,Odysseus,Elytis,11/02/1911,1,1979,3,1,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",,,24
666,Czeslaw,Milosz,6/30/1911,1,1980,3,1,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",,,39
667,Elias,Canetti,7/25/1905,1,1981,3,1,"""for writings marked by a broad outlook, a wealth of ideas and artistic power""",,,7
668,Gabriel,GarcÍa Mˆrquez,3/06/1927,1,1982,3,1,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts""",,,12
669,William,Golding,9/19/1911,1,1983,3,1,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today""",,,63
670,Jaroslav,Seifert,9/23/1901,1,1984,3,1,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",,,49
671,Claude,Simon,10/10/1913,1,1985,3,1,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",,,41
672,Wole,Soyinka,7/13/1934,1,1986,3,1,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",,,43
673,Joseph,Brodsky,5/24/1940,1,1987,3,1,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity""",,,51
674,Naguib,Mahfouz,12/11/1911,1,1988,3,1,"""who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind""",,,17
675,Camilo Jos_,Cela,5/11/1916,1,1989,3,1,"""for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability""",,,55
676,Octavio,Paz,3/31/1914,1,1990,3,1,"""for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity""",,,42
677,Nadine,Gordimer,11/19/1923,0,1991,3,1,"""who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity""",,,54
678,Derek,Walcott,1/23/1930,1,1992,3,1,"""for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment""",,,52
679,Toni,Morrison,2/18/1931,0,1993,3,1,"""who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality""",,,64
680,Kenzaburo,Oe,1/31/1935,1,1994,3,1,"""who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today""",,,34
681,Seamus,Heaney,4/13/1939,1,1995,3,1,"""for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past""",,,31
682,Wislawa,Szymborska,7/02/1923,0,1996,3,1,"""for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality""",,,47
683,Dario,Fo,3/24/1926,1,1997,3,1,"""who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden""",,,33
684,Jos_,Saramago,11/16/1922,1,1998,3,1,"""who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality""",,,48
685,Gônter,Grass,10/16/1927,1,1999,3,1,"""whose frolicsome black fables portray the forgotten face of history""",,,47
686,Ragnar,Frisch,03/03/1895,1,1969,2,2,"""for having developed and applied dynamic models for the analysis of economic processes""",University of Oslo,Oslo,44
687,Jan,Tinbergen,4/12/1903,1,1969,2,2,"""for having developed and applied dynamic models for the analysis of economic processes""",The Netherlands School of Economics,Rotterdam,58
688,Paul A.,Samuelson,5/15/1915,1,1970,2,1,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",64
689,Simon,Kuznets,4/30/1901,1,1971,2,1,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""",Harvard University,"Cambridge, MA",64
690,John R.,Hicks,4/08/1904,1,1972,2,2,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",All Souls College,Oxford,63
691,Kenneth J.,Arrow,8/23/1921,1,1972,2,2,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",Harvard University,"Cambridge, MA",64
692,Wassily,Leontief,8/05/1906,1,1973,2,1,"""for the development of the input-output method and for its application to important economic problems""",Harvard University,"Cambridge, MA",64
693,Gunnar,Myrdal,12/06/1898,1,1974,2,2,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena""",,,56
694,Friedrich August,von Hayek,05/08/1899,1,1974,2,2,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena""",,,4
695,Leonid Vitaliyevich,Kantorovich,1/19/1912,1,1975,2,2,"""for their contributions to the theory of optimum allocation of resources""",Academy of Sciences,Moscow,65
696,Tjalling C.,Koopmans,8/28/1910,1,1975,2,2,"""for their contributions to the theory of optimum allocation of resources""",Yale University,"New Haven, CT",64
697,Milton,Friedman,7/31/1912,1,1976,2,1,"""for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy""",University of Chicago,"Chicago, IL",64
698,Bertil,Ohlin,04/23/1899,1,1977,2,2,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",Stockholm School of Economics,Stockholm,56
699,James E.,Meade,6/23/1907,1,1977,2,2,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",University of Cambridge,Cambridge,63
700,Herbert A.,Simon,6/15/1916,1,1978,2,1,"""for his pioneering research into the decision-making process within economic organizations""",Carnegie Mellon University,"Pittsburgh, PA",64
701,Theodore W.,Schultz,4/30/1902,1,1979,2,2,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",University of Chicago,"Chicago, IL",64
702,Sir Arthur,Lewis,1/23/1915,1,1979,2,2,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",Princeton University,"Princeton, NJ",64
703,Lawrence R.,Klein,9/14/1920,1,1980,2,1,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",University of Pennsylvania,"Philadelphia, PA",64
704,James,Tobin,3/05/1918,1,1981,2,1,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices""",Yale University,"New Haven, CT",64
705,George J.,Stigler,1/17/1911,1,1982,2,1,"""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation""",University of Chicago,"Chicago, IL",64
706,Gerard,Debreu,7/04/1921,1,1983,2,1,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",University of California,"Berkeley, CA",64
707,Richard,Stone,8/30/1913,1,1984,2,1,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",University of Cambridge,Cambridge,63
708,Franco,Modigliani,6/18/1918,1,1985,2,1,"""for his pioneering analyses of saving and of financial markets""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",64
709,James M.,Buchanan Jr.,10/03/1919,1,1986,2,1,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",Center for Study of Public Choice,"Fairfax, VA",64
710,Robert M.,Solow,8/23/1924,1,1987,2,1,"""for his contributions to the theory of economic growth""",Massachusetts Institute of Technology (MIT),"Cambridge, MA",64
711,Maurice,Allais,5/31/1911,1,1988,2,1,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",€cole Nationale Sup_rieur des Mines de Paris,Paris,19
712,Trygve,Haavelmo,12/13/1911,1,1989,2,1,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",University of Oslo,Oslo,44
713,Harry M.,Markowitz,8/24/1927,1,1990,2,3,"""for their pioneering work in the theory of financial economics""",City University of New York,"New York, NY",64
714,Merton H.,Miller,5/16/1923,1,1990,2,3,"""for their pioneering work in the theory of financial economics""",University of Chicago,"Chicago, IL",64
715,William F.,Sharpe,6/16/1934,1,1990,2,3,"""for their pioneering work in the theory of financial economics""",Stanford University,"Stanford, CA",64
716,Ronald H.,Coase,12/29/1910,1,1991,2,1,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy""",University of Chicago,"Chicago, IL",64
717,Gary S.,Becker,12/02/1930,1,1992,2,1,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour""",University of Chicago,"Chicago, IL",64
718,Robert W.,Fogel,7/01/1927,1,1993,2,2,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",University of Chicago,"Chicago, IL",64
719,Douglass C.,North,11/05/1920,1,1993,2,2,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",Washington University,"St. Louis, MO",64
720,John C.,Harsanyi,5/29/1920,1,1994,2,3,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",University of California,"Berkeley, CA",64
721,John F.,Nash Jr.,6/13/1928,1,1994,2,3,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",Princeton University,"Princeton, NJ",64
722,Reinhard,Selten,10/05/1930,1,1994,2,3,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",Rheinische Friedrich-Wilhelms-Universit_t,Bonn,20
723,Robert E.,Lucas Jr.,9/15/1937,1,1995,2,1,"""for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy""",University of Chicago,"Chicago, IL",64
724,James A.,Mirrlees,7/05/1936,1,1996,2,2,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",University of Cambridge,Cambridge,63
725,William,Vickrey,6/21/1914,1,1996,2,2,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",Columbia University,"New York, NY",64
726,Robert C.,Merton,7/31/1944,1,1997,2,2,"""for a new method to determine the value of derivatives""",Harvard University,"Cambridge, MA",64
727,Myron S.,Scholes,7/01/1941,1,1997,2,2,"""for a new method to determine the value of derivatives""",Long Term Capital Management,"Greenwich, CT",64
728,Amartya,Sen,11/03/1933,1,1998,2,1,"""for his contributions to welfare economics""",Trinity College,Cambridge,63
729,Robert A.,Mundell,10/24/1932,1,1999,2,1,"""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas""",Columbia University,"New York, NY",64
730,Il‚ja Mikhailovich,Frank,10/23/1908,1,1958,6,3,"""for the discovery and the interpretation of the Cherenkov effect""",University of Moscow,Moscow,65
731,Il‚ja Mikhailovich,Frank,10/23/1908,1,1958,6,3,"""for the discovery and the interpretation of the Cherenkov effect""",P.N. Lebedev Physical Institute,Moscow,65
732,Arvid,Carlsson,1/25/1923,1,2000,4,3,"""for their discoveries concerning signal transduction in the nervous system""",G_teborg University,Gothenburg,56
733,Paul,Greengard,12/11/1925,1,2000,4,3,"""for their discoveries concerning signal transduction in the nervous system""",Rockefeller University,"New York, NY",64
734,Eric R.,Kandel,11/07/1929,1,2000,4,3,"""for their discoveries concerning signal transduction in the nervous system""",Columbia University,"New York, NY",64
735,Kim,Dae-jung,12/03/1925,1,2000,5,1,"""for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular""",,,37
736,Zhores I.,Alferov,3/15/1930,1,2000,6,4,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",A.F. Ioffe Physico-Technical Institute,St. Petersburg,51
737,Herbert,Kroemer,8/25/1928,1,2000,6,4,"""for developing semiconductor heterostructures used in high-speed- and opto-electronics""",University of California,"Santa Barbara, CA",64
738,Jack S.,Kilby,11/08/1923,1,2000,6,2,"""for his part in the invention of the integrated circuit""",Texas Instruments,"Dallas, TX",64
